Lap Number,Total Time,Lap Time,Lap Seconds,Speed,Total Distance
1,05:26.67,05:26.67,326.67,15.21,1.38
2,10:09.04,04:42.37,282.37,17.59,2.76
3,14:57.69,04:48.65,288.65,17.21,4.14
4,18:58.65,04:00.97,240.97,20.62,5.52
5,22:48.15,03:49.50,229.5,21.65,6.8999999999999995
6,27:18.49,04:30.35,270.35,18.38,8.28
7,31:21.38,04:02.90,242.9,20.45,9.66
8,35:24.70,04:03.32,243.32,20.42,11.04
9,39:59.03,04:34.34,274.34000000000003,18.11,12.419999999999998
10,44:50.53,04:51.50,291.5,17.04,13.799999999999999
11,49:27.48,04:36.95,276.95,17.94,15.18
12,53:43.19,04:15.72,255.72,19.43,16.56
13,57:45.60,04:02.42,242.42,20.49,17.939999999999998
14,1:01:48.27,04:02.67,242.67,20.47,19.32
15,1:06:04.93,04:16.66,256.66,19.36,20.7
16,1:10:27.45,04:22.53,262.53,18.92,22.08
17,1:14:47.02,04:19.58,259.58,19.14,23.459999999999997
18,1:18:51.93,04:04.91,244.91,20.29,24.839999999999996
19,1:22:58.68,04:06.75,246.75,20.13,26.22
20,1:27:04.27,04:05.59,245.59,20.23,27.599999999999998
21,1:31:24.28,04:20.02,260.02,19.11,28.979999999999997
22,1:36:04.40,04:40.12,280.12,17.74,30.36
23,1:40:23.52,04:19.13,259.13,19.17,31.74
24,1:44:45.91,04:22.39,262.39,18.93,33.12
25,1:49:07.54,04:21.64,261.64,18.99,34.5
26,1:54:08.58,05:01.04,301.04,16.50,35.879999999999995
27,1:58:30.07,04:21.49,261.49,19.00,37.26
28,2:02:57.52,04:27.45,267.45,18.58,38.64
29,2:07:06.94,04:09.43,249.43,19.92,40.019999999999996
30,2:11:27.34,04:20.41,260.41,19.08,41.4
31,2:16:31.42,05:04.09,304.09,16.34,42.779999999999994
32,2:21:03.38,04:31.96,271.96,18.27,44.16
33,2:25:18.80,04:15.43,255.43,19.45,45.54
34,2:29:48.25,04:29.46,269.46,18.44,46.919999999999995
35,2:34:13.73,04:25.48,265.48,18.71,48.3
36,2:38:37.84,04:24.12,264.12,18.81,49.67999999999999
37,2:43:09.95,04:32.11,272.11,18.26,51.059999999999995
38,2:48:09.09,04:59.14,299.14,16.61,52.44
39,2:52:58.17,04:49.09,289.09000000000003,17.18,53.81999999999999
40,2:58:08.59,05:10.42,310.42,16.00,55.199999999999996
41,3:03:05.01,04:56.43,296.43,16.76,56.58
42,3:07:50.18,04:45.17,285.17,17.42,57.959999999999994
43,3:12:26.04,04:35.86,275.86,18.01,59.339999999999996
44,3:17:04.81,04:38.78,278.78,17.82,60.72
45,3:21:28.75,04:23.94,263.94,18.82,62.099999999999994
46,3:45:48.56,24:19.81,1459.81,3.40,63.48
47,3:50:24.81,04:36.26,276.26,17.98,64.86
48,3:55:06.61,04:41.80,281.8,17.63,66.24
49,3:59:58.57,04:51.97,291.97,17.02,67.61999999999999
50,4:04:37.53,04:38.96,278.96,17.81,69.0
51,4:09:10.54,04:33.01,273.01,18.20,70.38
52,4:13:51.31,04:40.77,280.77,17.69,71.75999999999999
53,4:18:24.33,04:33.03,273.03,18.20,73.14
54,4:23:06.26,04:41.93,281.93,17.62,74.52
55,4:27:53.29,04:47.04,287.04,17.31,75.89999999999999
56,4:33:13.75,05:20.47,320.47,15.50,77.28
57,4:38:05.88,04:52.13,292.13,17.01,78.66
58,4:42:58.68,04:52.81,292.81,16.97,80.03999999999999
59,4:47:22.10,04:23.43,263.43,18.86,81.41999999999999
60,4:52:21.84,04:59.74,299.74,16.57,82.8
61,4:57:16.44,04:54.61,294.61,16.86,84.17999999999999
62,5:02:07.77,04:51.34,291.34000000000003,17.05,85.55999999999999
63,5:06:55.85,04:48.08,288.08,17.25,86.94
64,5:11:40.42,04:44.57,284.57,17.46,88.32
65,5:16:55.22,05:14.80,314.8,15.78,89.69999999999999
66,5:21:55.05,04:59.84,299.84000000000003,16.57,91.08
67,5:26:45.67,04:50.63,290.63,17.09,92.46
68,5:31:40.81,04:55.15,295.15,16.83,93.83999999999999
69,5:36:45.13,05:04.32,304.32,16.32,95.22
70,5:41:34.93,04:49.81,289.81,17.14,96.6
71,5:46:39.80,05:04.88,304.88,16.29,97.97999999999999
72,5:51:41.23,05:01.43,301.43,16.48,99.35999999999999
73,5:56:56.66,05:15.44,315.44,15.75,100.74
74,6:01:59.50,05:02.85,302.85,16.40,102.11999999999999
75,6:07:08.56,05:09.06,309.06,16.07,103.49999999999999
76,6:12:39.08,05:30.53,330.53,15.03,104.88
77,6:18:20.93,05:41.85,341.85,14.53,106.25999999999999
78,6:24:38.38,06:17.45,377.45,13.16,107.63999999999999
79,6:31:05.08,06:26.71,386.71,12.85,109.02
80,6:37:04.59,05:59.52,359.52,13.82,110.39999999999999
81,6:43:31.59,06:27.00,387.0,12.84,111.77999999999999
82,6:49:40.80,06:09.21,369.21,13.46,113.16
83,6:55:19.70,05:38.91,338.90999999999997,14.66,114.53999999999999
84,7:00:43.05,05:23.35,323.35,15.36,115.91999999999999
85,7:06:13.17,05:30.13,330.13,15.05,117.3
86,7:13:05.77,06:52.60,412.6,12.04,118.67999999999999
87,7:18:27.92,05:22.15,322.15,15.42,120.05999999999999
88,7:23:22.01,04:54.09,294.09000000000003,16.89,121.44
89,7:28:48.08,05:26.07,326.07,15.24,122.82
90,7:34:06.71,05:18.64,318.64,15.59,124.19999999999999
91,7:39:46.57,05:39.87,339.87,14.62,125.57999999999998
92,7:46:06.62,06:20.05,380.05,13.07,126.96
93,7:52:22.10,06:15.49,375.49,13.23,128.34
94,7:59:25.86,07:03.76,423.76,11.72,129.72
95,8:08:38.93,09:13.07,553.07,8.98,131.1
